#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hide_fritz_flags;Hide Flags;x
hide_fritz_flags_desc; ;x

reveal_fritz_flags;Show Flags;x
reveal_fritz_flags_desc; ;x

reset_primary_coa;Reset Primary Coat of Arms;x
reset_primary_coa_desc; ;x

england_coa_one;Alter English Coat of Arms;x
england_coa_one_desc; ;x

england_coa_two;Alter English Coat of Arms;x
england_coa_two_desc; ;x

england_coa_three;Alter English Coat of Arms;x
england_coa_three_desc; ;x

england_coa_four;Alter English Coat of Arms;x
england_coa_four_desc; ;x

england_coa_five;Alter English Coat of Arms;x
england_coa_five_desc; ;x

england_coa_six;Alter English Coat of Arms;x
england_coa_six_desc; ;x

england_coa_seven;Alter English Coat of Arms;x
england_coa_seven_desc; ;x

england_coa_eight;Alter English Coat of Arms;x
england_coa_eight_desc; ;x

england_coa_nine;Alter English Coat of Arms;x
england_coa_nine_desc; ;x

england_coa_ten;Alter English Coat of Arms;x
england_coa_ten_desc; ;x

england_coa_eleven;Alter English Coat of Arms;x
england_coa_eleven_desc; ;x

england_coa_twelve;Alter English Coat of Arms;x
england_coa_twelve_desc; ;x

england_coa_thirteen;Alter English Coat of Arms;x
england_coa_thirteen_desc; ;x

england_coa_fourteen;Alter English Coat of Arms;x
england_coa_fourteen_desc; ;x

england_coa_fifteen;Alter English Coat of Arms;x
england_coa_fifteen_desc; ;x

england_coa_sixteen;Alter English Coat of Arms;x
england_coa_sixteen_desc; ;x

england_coa_seventeen;Alter English Coat of Arms;x
england_coa_seventeen_desc; ;x

britannia_coa_one;Alter Britannian Coat of Arms;x
britannia_coa_one_desc; ;x

britannia_coa_two;Alter Britannian Coat of Arms;x
britannia_coa_two_desc; ;x

scotland_coa_one;Alter Scottish Coat of Arms;x
scotland_coa_one_desc; ;x

scotland_coa_two;Alter Scottish Coat of Arms;x
scotland_coa_two_desc; ;x

scotland_coa_one_true;Alter Scottish Coat of Arms;x
scotland_coa_one_true_desc; ;x

france_coa_one;Alter French Coat of Arms;x
france_coa_one_desc; ;x

france_coa_two;Alter French Coat of Arms;x
france_coa_two_desc; ;x

